📺央卫频道-IPTV👉,#genre#
CCTV4中文国际欧洲,http://www.20260809.xyz:1234/608807419
CCTV5+体育赛事,http://www.20260809.xyz:1234/641886773
CCTV5体育,http://www.20260809.xyz:1234/641886683
CCTV6电影,http://www.20260809.xyz:1234/624878396
CCTV7国防军事,http://www.20260809.xyz:1234/673168121
CCTV8电视剧,http://www.20260809.xyz:1234/624878356
CCTV9纪录,http://www.20260809.xyz:1234/673168140
CCTV10科教,http://www.20260809.xyz:1234/624878405
CCTV11戏曲,http://www.20260809.xyz:1234/667987558
CCTV12社会与法,http://www.20260809.xyz:1234/673168185
CCTV13新闻,http://www.20260809.xyz:1234/608807423
CCTV14少儿,http://www.20260809.xyz:1234/624878440
CCTV15音乐,http://www.20260809.xyz:1234/673168223
CCTV17农业农村,http://www.20260809.xyz:1234/673168256

北京卫视,http://www.20260809.xyz:1234/630287636
兵团卫视,http://www.20260809.xyz:1234/956923145
大湾区卫视,http://www.20260809.xyz:1234/608917627
东方卫视,http://www.20260809.xyz:1234/651632648
东南卫视,http://www.20260809.xyz:1234/849116810
广东卫视,http://www.20260809.xyz:1234/608831231
海南卫视,http://www.20260809.xyz:1234/947472502
海峡卫视,http://www.20260809.xyz:1234/849119120
河北卫视,http://www.20260809.xyz:1234/962042070
河南卫视,http://www.20260809.xyz:1234/790187291
湖北卫视,http://www.20260809.xyz:1234/947472496
吉林卫视,http://www.20260809.xyz:1234/947472500
江苏卫视,http://www.20260809.xyz:1234/623899368
江西卫视,http://www.20260809.xyz:1234/783847495
辽宁卫视,http://www.20260809.xyz:1234/630291707
宁夏卫视,http://www.20260809.xyz:1234/738910535
青海卫视,http://www.20260809.xyz:1234/947472506
三沙卫视,http://www.20260809.xyz:1234/961023778
山东教育卫视,http://www.20260809.xyz:1234/609154353
陕西卫视,http://www.20260809.xyz:1234/738910838
中国农林卫视,http://www.20260809.xyz:1234/956904896
重庆卫视,http://www.20260809.xyz:1234/738910914

CETV1,http://www.20260809.xyz:1234/923287154
CETV2,http://www.20260809.xyz:1234/923287211
CETV4,http://www.20260809.xyz:1234/923287339
CGTN,http://www.20260809.xyz:1234/609017205
CGTN阿拉伯语,http://www.20260809.xyz:1234/609154345
